運番,始発駅,行先駅,谷上,,発,新神,,発,三宮,県庁,大倉,湊川,上沢,長田,新長,板宿,妙法,着,名谷,,,運動,学園,伊川,神南,着,西神,
26,新神戸,西神中央,,,,,12:27,3,12:29,12:31,12:33,12:35,12:36,12:38,12:40,12:42,12:46,4,,12:49,,12:51,12:54,12:56,12:58,2,13:01,
07,谷上,西神中央,,12:26,4,,12:34,2,12:36,12:38,12:40,12:42,12:43,12:45,12:47,12:49,12:53,4,,12:56,,12:58,13:01,13:03,13:05,3,13:08,
10,新神戸,西神中央,,,,,12:42,3,12:44,12:46,12:48,12:50,12:51,12:53,12:55,12:57,13:01,4,,13:04,,13:06,13:09,13:11,13:13,2,13:16,
02,谷上,西神中央,,12:41,4,,12:49,2,12:51,12:53,12:55,12:57,12:58,13:00,13:02,13:04,13:08,4,,13:11,,13:13,13:16,13:18,13:20,3,13:23,
05,新神戸,西神中央,,,,,12:57,3,12:59,13:01,13:03,13:05,13:06,13:08,13:10,13:12,13:16,4,,13:19,,13:21,13:24,13:26,13:28,2,13:31,
12,谷上,西神中央,,12:56,4,,13:04,2,13:06,13:08,13:10,13:12,13:13,13:15,13:17,13:19,13:23,4,,13:26,,13:28,13:31,13:33,13:35,3,13:38,
06,新神戸,西神中央,,,,,13:12,3,13:14,13:16,13:18,13:20,13:21,13:23,13:25,13:27,13:31,4,,13:34,,13:36,13:39,13:41,13:43,2,13:46,
13,谷上,西神中央,,13:11,4,,13:19,2,13:21,13:23,13:25,13:27,13:28,13:30,13:32,13:34,13:38,4,,13:41,,13:43,13:46,13:48,13:50,3,13:53,
03,新神戸,西神中央,,,,,13:27,3,13:29,13:31,13:33,13:35,13:36,13:38,13:40,13:42,13:46,4,,13:49,,13:51,13:54,13:56,13:58,2,14:01,
16,谷上,西神中央,,13:26,4,,13:34,2,13:36,13:38,13:40,13:42,13:43,13:45,13:47,13:49,13:53,4,,13:56,,13:58,14:01,14:03,14:05,3,14:08,
09,新神戸,西神中央,,,,,13:42,3,13:44,13:46,13:48,13:50,13:51,13:53,13:55,13:57,14:01,4,,14:04,,14:06,14:09,14:11,14:13,2,14:16,
15,谷上,西神中央,,13:41,4,,13:49,2,13:51,13:53,13:55,13:57,13:58,14:00,14:02,14:04,14:08,4,,14:11,,14:13,14:16,14:18,14:20,3,14:23,
07,新神戸,西神中央,,,,,13:57,3,13:59,14:01,14:03,14:05,14:06,14:08,14:10,14:12,14:16,4,,14:19,,14:21,14:24,14:26,14:28,2,14:31,
26,谷上,西神中央,,13:56,4,,14:04,2,14:06,14:08,14:10,14:12,14:13,14:15,14:17,14:19,14:23,4,,14:26,,14:28,14:31,14:33,14:35,3,14:38,
02,新神戸,西神中央,,,,,14:12,3,14:14,14:16,14:18,14:20,14:21,14:23,14:25,14:27,14:31,4,,14:34,,14:36,14:39,14:41,14:43,2,14:46,
10,谷上,西神中央,,14:11,4,,14:19,2,14:21,14:23,14:25,14:27,14:28,14:30,14:32,14:34,14:38,4,,14:41,,14:43,14:46,14:48,14:50,3,14:53,
12,新神戸,西神中央,,,,,14:27,3,14:29,14:31,14:33,14:35,14:36,14:38,14:40,14:42,14:46,4,,14:49,,14:51,14:54,14:56,14:58,2,15:01,
05,谷上,西神中央,,14:26,4,,14:34,2,14:36,14:38,14:40,14:42,14:43,14:45,14:47,14:49,14:53,4,,14:56,,14:58,15:01,15:03,15:05,3,15:08,
13,新神戸,西神中央,,,,,14:42,3,14:44,14:46,14:48,14:50,14:51,14:53,14:55,14:57,15:01,4,,15:04,,15:06,15:09,15:11,15:13,2,15:16,
06,谷上,西神中央,,14:41,4,,14:49,2,14:51,14:53,14:55,14:57,14:58,15:00,15:02,15:04,15:08,4,,15:11,,15:13,15:16,15:18,15:20,3,15:23,
16,新神戸,西神中央,,,,,14:57,3,14:59,15:01,15:03,15:05,15:06,15:08,15:10,15:12,15:16,4,,15:19,,15:21,15:24,15:26,15:28,2,15:31,
03,谷上,西神中央,,14:56,4,,15:04,2,15:06,15:08,15:10,15:12,15:13,15:15,15:17,15:19,15:23,4,,15:26,,15:28,15:31,15:33,15:35,3,15:38,
15,新神戸,西神中央,,,,,15:12,3,15:14,15:16,15:18,15:19,15:21,15:23,15:25,15:27,15:31,4,,15:34,,15:36,15:38,15:40,15:43,2,15:45,
09,谷上,西神中央,,15:11,4,,15:19,2,15:21,15:23,15:25,15:27,15:28,15:30,15:32,15:34,15:38,4,,15:41,,15:43,15:46,15:48,15:50,3,15:53,
26,新神戸,西神中央,,,,,15:26,3,15:28,15:30,15:32,15:34,15:35,15:37,15:39,15:41,15:45,4,,15:48,,15:50,15:53,15:55,15:57,2,16:00,
07,谷上,西神中央,,15:26,4,,15:34,2,15:36,15:38,15:40,15:42,15:43,15:45,15:47,15:49,15:53,4,,15:56,,15:58,16:01,16:03,16:05,3,16:08,
10,新神戸,西神中央,,,,,15:41,3,15:43,15:45,15:47,15:49,15:50,15:52,15:54,15:56,16:00,4,,16:03,,16:05,16:08,16:10,16:12,2,16:15,
02,谷上,西神中央,,15:41,4,,15:49,2,15:51,15:53,15:55,15:57,15:58,16:00,16:02,16:04,16:08,4,,16:11,,16:13,16:16,16:18,16:20,3,16:23,
05,新神戸,西神中央,,,,,15:56,3,15:58,16:00,16:02,16:03,16:05,16:07,16:09,16:11,16:15,4,,16:18,,16:20,16:22,16:25,16:27,2,16:30,
12,谷上,西神中央,,15:56,4,,16:04,2,16:06,16:08,16:10,16:12,16:13,16:15,16:17,16:19,16:23,4,,16:26,,16:28,16:31,16:33,16:35,3,16:38,
06,新神戸,西神中央,,,,,16:10,3,16:13,16:14,16:16,16:18,16:20,16:21,16:24,16:26,16:29,4,,16:32,,16:35,16:37,16:39,16:41,2,16:44,
13,谷上,西神中央,,16:11,5,,16:19,2,16:21,16:23,16:25,16:27,16:28,16:30,16:32,16:34,16:38,4,,16:41,,16:43,16:46,16:48,16:50,2,16:53,
17,新神戸,西神中央,,,,,16:26,3,16:28,16:30,16:32,16:34,16:35,16:37,16:40,16:42,16:45,4,,16:48,,16:50,16:53,16:55,16:57,3,17:00,
16,谷上,西神中央,,16:25,5,,16:33,2,16:35,16:37,16:39,16:41,16:42,16:44,16:47,16:49,16:52,4,,16:56,,16:58,17:00,17:02,17:05,2,17:07,
09,新神戸,西神中央,,,,,16:38,3,16:41,16:42,16:44,16:46,16:48,16:49,16:52,16:54,16:58,4,,17:01,,17:04,17:06,17:08,17:10,3,17:13,
03,谷上,西神中央,,16:36,5,,16:45,2,16:47,16:49,16:51,16:53,16:54,16:56,16:59,17:01,17:04,4,,17:08,,17:10,17:12,17:14,17:17,2,17:19,
15,谷上,西神中央,,16:44,5,,16:52,2,16:54,16:56,16:58,17:00,17:01,17:03,17:06,17:08,17:11,4,,17:15,,17:17,17:19,17:21,17:24,3,17:26,
07,新神戸,西神中央,,,,,16:59,3,17:01,17:03,17:05,17:06,17:08,17:10,17:13,17:15,17:18,4,,17:21,,17:24,17:26,17:28,17:30,2,17:33,
26,谷上,西神中央,,16:57,5,,17:06,2,17:08,17:10,17:12,17:13,17:15,17:17,17:20,17:22,17:25,4,,17:28,,17:31,17:33,17:35,17:37,3,17:40,
02,新神戸,西神中央,,,,,17:13,3,17:15,17:17,17:19,17:21,17:22,17:24,17:27,17:29,17:32,4,,17:36,,17:38,17:40,17:42,17:45,2,17:47,
10,谷上,西神中央,,17:12,5,,17:20,2,17:23,17:24,17:26,17:28,17:30,17:31,17:34,17:36,17:40,4,,17:43,,17:45,17:48,17:50,17:52,3,17:55,
